id,name,reference,mandatory
"pho.measurement_efficiency","Measurement Efficiency","SC-9314",""
"xUCDM.CONFIG.ISLOCALIZED","xUCDM.CONFIG.ISLOCALIZED","",""
"xUCDM.CONFIG.COUNTRY","xUCDM.CONFIG.COUNTRY","",""
"FILTER","Filters and lenses","IF-1422;IF-2693;IF-2626;IF-1421;IF-1329;IF-1330;IF-2651;IF-1057;IF-2694;IF-2670;IF-1423;IF-1420;IF-2538;IF-1486;CAT-316024;IF-2505;IF-1387;IF-315122;IF-1419;IF-1908;IF-2504;IF-2692;IF-2509",""
"xUCDM.FP.OverrideParents.PathById.PROF","xUCDM.FP.OverrideParents.PathById.PROF","",""
"STEP.ZRCC.CHAR.CE-MARK.DESC","SAP CE mark desc.","",""
"DIMF1","Dimension F1","",""
"pho.total_lamp_flux","Total Lamp Flux","SC-9314",""
"NOMSURGCUR","Surge Current In","",""
"RFI55022","EMI 30 MHz ... 1000 MHz","",""
"xUCDM.CONFIG.CONTEXT","xUCDM.CONFIG.CONTEXT","",""
"STEP.ZRCC.CHAR.CMP.DESC","SAP Compensation circuit desc.","",""
"distribution.channel.ecat.oem","distribution.channel.ecat.oem","",""
"Completeness","Completeness","",""
"STEP.ZRCC.CHAR.AIRH.DESC","SAP Air-handling desc.","",""
"distribution.channel","distribution.channel","",""
"STEP.ZRCC.CHAR.AMTEMP.DESC","SAP Ambient temperature range desc.","",""
"ApplicationText for Final Product","xUCDM_ApplicationText for Final Product","",""
"STEP.ZRCC.CHAR.COLLAMP.DESC","SAP Light source color desc.","",""
"xUCDM_LifecycleStatus","xUCDM_LifecycleStatus","",""
"publication.channels.ecat.oem","publication.channels.ecat.oem","",""
"STEP.ZRCC.CHAR.HOUSCONF.DESC","SAP Housing configuration desc.","",""
"STEP.ZRCC.CHAR.GLAREACC.DESC","SAP Glare shielding accessories desc.","",""
"publication.channels","publication.channels","",""
"STEP.ZRCC.CHAR.GEOMETRY.DESC","SAP Geometry desc.","",""
"FeatureText for Final Product","FeatureText for Final Product","",""
"distribution.channel.ecat.prof","distribution.channel.ecat.prof","",""
"STEP.ZRCC.CHAR.FC.DESC","SAP Filter coil desc.","",""
"xUCDM_CAT_CODE","xUCDM_CAT_CODE","",""
"STEP.ZRCC.CHAR.HOUSCONF2.DESC","SAP Housing configuration 2 desc.","",""
"xUCDM_Attribute_Rank","xUCDM_Attribute_Rank","",""
